field1,field2,field3,field4,field5,_GC_TYPE,_X,_Y
영동점,월-목 07:00~22:00 | 금 07:00~23:00 | 토 08:00~23:00 | 일/공휴일 09:00~22:00,서울 서초구 반포동 736-17 P빌딩 2층,02-3443-2096,서울특별시서초구반포동736-17P빌딩2층,정,127.02282511205019,37.50685387021782
도곡점,"월~금 06:30~22:00 |토,일, 공휴일 06:30~22:00","서울시 강남구 언주로 30길 10,112 현대비젼21 112호",02-572-2781,"서울특별시강남구언주로30길10,112현대비젼21112호",정,127.05155437160387,37.48733899730933
영동고앞점,월-금 07:00~22:00 | 토 08:00~22:00 | 일/공휴일 08:00~22:00,"서울시 강남구 선릉로 749 1,2층",02-544-3794,"서울특별시강남구선릉로7491,2층",유,127.04082516322465,37.52744787474776
서초우성점,평일 07:00~22:00ㅣ토/일/공휴일 08:00~22:00,서울시 서초구 강남대로 51길 1 511 TOWER  1층,02-582-0158,서울특별시서초구강남대로51길1511TOWER1층,유,127.0292747488922,37.49128050807613
압구정시티점,매일 08:00~22:00 |,"서울시 강남구 도산대로49길 13 1층 17,18호",02-543-5922,"서울특별시강남구도산대로49길131층17,18호",유,127.03690574125383,37.52573441827907
압구정로데오점,매일 08:00~22:00 |,서울시 강남구 선릉로 157길 12 석전빌딩 1~4층,02-3445-5093,서울특별시강남구선릉로157길12석전빌딩1~4층,정,127.03901294020491,37.52611492174356
삼성오크우드점,평일 07:00~21:00 | 주말/공휴일 09:00~21:00,서울 강남구 영동대로 513 컨벤션별관A동 지하 2층,02-3466-8507,서울특별시강남구영동대로513컨벤션별관A동지하2층,정,127.0591588162209,37.51182421143046
트레이드타워점,평일 07:00~21:00  | 주말/공휴일 10:00~19:00,서울시 강남구 영동대로 511 트레이드타워 지하1층,02-6002-6470,서울특별시강남구영동대로511트레이드타워지하1층,정,127.06102310221968,37.51035653285146
삼성봉은사거리점,평일 07:00-22:00 | 주말/공휴일 08:00-22:00,"서울시 강남구 영동대로 607 1,2층",02-3443-5618,"서울특별시강남구영동대로6071,2층",유,127.05386756141829,37.524415227391074
논현팍스타워점,월-금 07:00~21:00 | 토 09:00~20:00 | 일 09:00-18:00I,서울시 강남구 논현 231-13호 팍스타워지하1층,02-513-3870,서울특별시강남구논현231-13호팍스타워지하1층,정,127.0365746601855,37.51004819513807
반포엘루체점,월-일 07:30~19:00,서울시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호,02-3477-5571,서울특별시서초구신반포로231141호엘루체백화점내1층1013~1015호,유,127.02088807323793,37.51074227209846
잠실신천점,월-금 07:00~22:00 | 토-일 07:00~22:00,서울시 송파구 석촌호수로 118 1층,02-416-9520,서울특별시송파구석촌호수로1181층,유,127.10817057022595,37.51156611579291
삼성생명강남사옥점,월-금 07:00~18:00 | 토/일/공휴일 휴점,서울시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,02-581-5562,서울특별시서초구서초대로74길4삼성생명보험서초타워내지하1층,정,127.02570336290644,37.49674468706047
서초지파이브점,11월 11일 ~ 12월 8일까지 리뉴얼 공사,"서울시 서초구 서초동 1685-8호 101~2호,113~4호,121호",02-3477-5580,"서울특별시서초구서초동1685-8호101~2호,113~4호,121호",정,127.01646563906931,37.49540542973758
논현동수면센터점,월-금 07:30~20:00 | 토 08:30~20:00 | 일/공휴일 09:30~17:00,서울시 강남구 논현로 717 1층,02-3443-5575,서울특별시강남구논현로7171층,유,127.02895181068551,37.5270901468949
역삼포스틸타워뒷점,"평일 07:00~21:00 | 토요일 08:00~22:00 | 일,공휴일 09:00~17:00",서울시 강남구 테헤란로 20길 10 쓰리엠타워1층,02-554-9962,서울특별시강남구테헤란로20길10쓰리엠타워1층,정,127.03414135825331,37.49908664444383
삼성전자강남사옥점,월-금 07:00~16:00 | 토/일/공휴일 휴점,서울시 서초구 서초대로74길 11 지하2층,02-2055-1142,서울특별시서초구서초대로74길11지하2층,정,127.0269145455737,37.496633268318895
테헤란로하이닉스뒷점,평일 07:00~21:00 | 토요일 07:00~21:00 | 일요일 08:00~21:00,서울시 강남구 테헤란로 70길 12 1층,02-538-9927,서울특별시강남구테헤란로70길121층,유,127.05377189585346,37.50378189417047
삼성봉은사로점,"평일 07:00~21:00 | 주말,공휴일 07:00~21:00",서울시 강남구 봉은사로 628 엘슨빌딩1층,02-538-4523,서울특별시강남구봉은사로628엘슨빌딩1층,정,127.06416664521426,37.51467305921827
방배카페골목점,월-글 08:00~22:00 | 토/일/공휴일 08:00~22:00,서울특별시 서초구 방배중앙로 187,02-592-7794,서울특별시서초구방배중앙로187,정,126.985531171734,37.49570856093374
방이점,"월-목 06:30~23:00ㅣ금 06:30~24:00 l 토 07:00~24:00 ㅣ일,공휴일 07:00~23:00",서울시 송파구 오금로 11길 7,02-415-5561,서울특별시송파구오금로11길7,정,127.1079677779601,37.51455615261928
매봉역점,"평일 07:00~21:00 | 주말,공휴일 07:00~21:00",서울시 강남구 논현로 38길 42 418호,02-529-9947,서울특별시강남구논현로38길42418호,유,127.04537762938455,37.48565778703989
청담카페점,월-금 07:00~22:00 | 토 07:30~22:00 | 일/공휴일 07:30~22:00,"서울시 강남구 도산대로 67길 7,파크빌딩 1층",02-514-5622,"서울특별시강남구도산대로67길7,파크빌딩1층",정,127.04438725128527,37.52448809940236
강남역랭기지타워점,"월~금 07:00-21:00 | 토,일 07:30~21:00",서울시 강남구 테헤란로4길 28 826-28호 1층,02-563-3655,서울특별시강남구테헤란로4길28826-28호1층,유,127.03006586851177,37.49554889194421
남부터미널역점,평일 07:00~21:00 | 토/일/공휴일 07:00~21:00,서울시 서초구 서초중앙로 43 로얄타워1층,02-523-3671,서울특별시서초구서초중앙로43로얄타워1층,정,127.01557716809667,37.48553845589538
도심공항타워점,"월 ~ 수 06:30~22:00 |목,금 06:30~23:00 | 주말, 공휴일 08:00~22:00",서울시 강남구 테헤란로87길 36 공항타워 1층,02-2016-5330,서울특별시강남구테헤란로87길36공항타워1층,정,127.05859721722906,37.51023392128358
경희궁의아침점,월-금 07:00~21:00 | 주말/공휴일 09:00~21:00,서울시 종로구 새문안로3길 23 경희궁아침상가4단지105외,02-730-8896,서울특별시종로구새문안로3길23경희궁아침상가4단지105외,정,126.97224392604993,37.57254785037314
홍대역점,일~월 08:00 ~ 22:30 l 금~토 08:00 ~ 23:00,서울시 마포구 홍익로 6길 26,02-333-4278,서울특별시마포구홍익로6길26,정,126.92326431252171,37.555468976898865
순화점,월-금 07:00~23:00 | 주말/공휴일 09:00~22:00,서울시 중구 순화202  1-94 프레이저플레이스레지던스1층,02-2220-8198,서울특별시중구순화2021-94프레이저플레이스레지던스1층,유,126.97058628010305,37.56385048860151
종로관철동점,월-금 07:00~23:00 | 주말/공휴일 08:00~23:00 |,"서울시 종로구 청계천로 83 11-4호 지하1,지상1~3층",02-738-5333,"서울특별시종로구청계천로8311-4호지하1,지상1~3층",유,127.02268468064352,37.572211850423976
광화문점,월-금 07:00~23:00 | 토요일 7:30~23:00 | 일/공휴일 09:00~23:00 |,서울 종로구 서린동 136 센트리얼빌딩 1층,02-3210-2326,서울특별시종로구서린동136센트리얼빌딩1층,정,126.97886068673003,37.56978500519584
소공동삼화빌딩점,"월-금 07:00~21:30 | 토,일요일 08:00~22:00",서울 중구 남대문로7길 16 한컴빌딩 1층,02-753-8004,서울특별시중구남대문로7길16한컴빌딩1층,정,126.98116291091794,37.56416520361909
순화동라마다호텔점,월-금 07:00~19:00 | 토/일/공휴일 휴점,서울시 중구 칠패로 27 151호,02-3789-3347,서울특별시중구칠패로27151호,유,126.9740249266176,37.55954846454493
강변테크노마트점,매일 10:00~21:00 |,서울시 광진구 광나루로56길 85 테크노마트9층35호,02-3424-5480,서울특별시광진구광나루로56길85테크노마트9층35호,정,127.09569153142348,37.53572460003108
외대앞점,"| 평일 07:00~22:00  | 주말,공휴일 07:30~22:00  |",서울시 동대문구 이문로 106 1~3층,02-959-7750,서울특별시동대문구이문로1061~3층,유,127.06220941607064,37.60488201246501
신촌점,평일 07:30~22:00 l 토/일/공휴일 08:00~22:00,서울시 서대문구 창천 18-26호 B1,02-363-5572,서울특별시서대문구창천18-26호B1,정,126.93738781920146,37.556319715783104
건대스타시티점,월-금 07:00~22:00 | 토 08:00~22:00 | 일/공휴일 08:00~22:00,서울시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층,02-444-9861,서울특별시광진구자양동227-342호롯데백화점옆더클래식500건물1층,정,127.0711366475323,37.538788261751016
고대안암역점,"| 평일 07:00~23:00  | 주말,공휴일 07:00~23:00  |",서울시 성북구 개운사길8 101-3 1층,02-953-6652,서울특별시성북구개운사길8101-31층,유,127.02936029712129,37.59039267009652
중계동은행사거리점,"| 평일 07:00~22:00  | 주말,공휴일 07:30~22:00 |",서울시 노원구 한글비석로 263 1층,02-931-3055,서울특별시노원구한글비석로2631층,유,127.0537290576522,37.66398169797184
세종문화회관옆점,월-금 07:00~22:00 | 토/일/공휴일 09:00~22:00,서울 종로구 새문안로 9길 25 1층,02-720-5561,서울특별시종로구새문안로9길251층,유,126.97538076771328,37.571482019879824
서울스퀘어점,"평일 07:00~21:30ㅣ토,일요일 10:00~21:00",서울시 중구 한강대로 416 지하1층,02-6456-8907,서울특별시중구한강대로416지하1층,정,126.97375106569055,37.5555037970402
목동점,매일 07:30 ~ 22:00,서울시 양천구 목동동로 293 현대41타워1층,02-2654-5981,서울특별시양천구목동동로293현대41타워1층,정,126.87577203345768,37.52817803168188
하나은행경복궁역점,월-금 07:00~22:00 | 주말/공휴일 09:00~22:00,"서울시 종로구 사직로 130,1 현대적선빌딩1층",02-733-5108,"서울특별시종로구사직로130,1현대적선빌딩1층",정,126.97306310956066,37.57586125024215
인천구월동점,매일 07:00 ~ 22:00,"인천광역시 남동구 예술로 138 지상1,2층",032-421-3418,"인천광역시남동구예술로138지상1,2층",정,126.70100646407253,37.4462417887199
여의도순복음교회옆점,"월~금 07:00~22:00 주말,공휴일 08:00~22:00",서울시 영등포구 여의서로 43 한서리버파크2층,02-780-7758,서울특별시영등포구여의서로43한서리버파크2층,정,126.92484290095878,37.53072925927393
여의도34번지점,평일 06:30~18:00 | 주말/공휴일 휴점,서울 영등포구 국제금융로 52 심팩빌딩 1층,02-783-2043,서울특별시영등포구국제금융로52심팩빌딩1층,정,126.92950594861873,37.522728952835315
시흥홈플러스점,"매일 10:00~22:00 l 2,4째주 일요일 휴무( 홈플러스 휴무일)",서울시 금천구 시흥대로 201 1층,02-803-9994,서울특별시금천구시흥대로2011층,유,126.89924125539136,37.477562575169706
대전탄방동점,평일/주말 08:30~21:30,대전시 서구 문정로76 1층,042-471-9805,대전시서구문정로761층,유,127.3944016597311,36.35954676161936
분당서현점,평일 07:00-22:30 l 주말 /공휴일 08:00-22:30,"경기도 성남시 분당구 분당로53번길 11 1층2,3호",031-705-8926,"경기도성남시분당구분당로53번길111층2,3호",유,127.12287275158964,37.38426488428318
부산광복동점,월-목 10:00~21:00ㅣ금 10:00~22:00 ㅣ토 09:00~22:00ㅣ일 09:00~21:00,부산광역시 중구 창선동 2가 8-2,051-243-9105,부산광역시중구창선동2가8-2,정,129.0289972301313,35.099465793383715
무교CBTL점,월-금 10:00~22:00 | 주말/공휴일 12:00~21:00,서울 중구 세종대로 136 파이낸스빌딩 지하2층,070-4140-7003,서울특별시중구세종대로136파이낸스빌딩지하2층,정,126.97825647100764,37.568423877606975
분당플라자점,평일 07:30-22:00 I 주말/공휴일 08:00-22:00,경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층,031-705-3188,경기도성남시분당구황새울로326서현빌딩상가내2층,정,127.12186588323942,37.38513059853061
분당차병원점,"월-토 07:00~22:00ㅣ일,공휴일 08:00~22:00","경기도 성남시 분당구 야탑로65번길 16, 분당차병원 신관동 1층 101호(야탑동)",031-781-0471,"경기도성남시분당구야탑로65번길16,분당차병원신관동1층101호(야탑동)",정,127.12636088090024,37.41102162207955
동탄라마다호텔점,월-금 08:00~22:00 I 주말 08:00~22:00,경기도 화성시 노작로 199 동탄라마다호텔107호~111호,031-8003-8374,경기도화성시노작로199동탄라마다호텔107호~111호,정,127.07467930545455,37.20584132256386
국기원사거리점,"월-금 08:00~17:00 | 토 10:00~18:00 I 일,공휴일 휴점",서울시 강남구 테헤란로 8길 42 1층,02-552-7106,서울특별시강남구테헤란로8길421층,유,127.0323003530873,37.49587593935433
일산웨스턴돔1호점,월-금 08:00~22:00 | 토요일 9:00~22:00 | 일/공휴일09:00~22:00,경기도 고양시 일산동구 정발산로 24 I동103~203호,031-931-5573,경기도고양시일산동구정발산로24I동103~203호,정,126.77265617799343,37.65482477870878
남대문점,월-금 07:00~21:00 | 토요일 09:00 ~16:00 일요일/공휴일 휴점,서울시 중구 후암로110 581호 서울시티타워1층,02-777-4217,서울특별시중구후암로110581호서울시티타워1층,유,126.97404820538075,37.554303623621244
분당수내점,평일 7:30~22:00ㅣ주말 8:00~22:00,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층,031-713-9937,경기도성남시분당구황새울로214번길8MSPlaza내1층,정,127.11231216990224,37.37813200222427
올림픽플라자점,매일 09:00~21:00,서울시 송파구 양재대로 1222 올림픽선수A 1층212~3호,02-402-3571,서울특별시송파구양재대로1222올림픽선수A1층212~3호,정,127.13226300529966,37.51568076987147
뉴압구정점,월-금 07:00~22:00 | 토 08:00~22:00 | 일/공휴일 08:00~22:00,서울시 강남구 논현로 167길 9 낙산프라자 1층,02-545-3181,서울특별시강남구논현로167길9낙산프라자1층,정,127.02742675813728,37.52442055106038
창원상남동점,평일 08:00~21:30  주말 09:00~21:30,경남 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호,055-211-0737,경상남도창원시성산구중앙대로104마이우스오피스텔123호207호,정,128.68081174416054,35.223491676471156
테헤란로비젼타워점,"월-금 07:00~21:00 | 토요일 10:00~18:00 I 일요일,공휴일 휴점",서울시 강남구 테헤란로 312 707-2번지1층,02-558-7101,서울특별시강남구테헤란로312707-2번지1층,유,127.06682859134955,37.5102770135029
대학로마로니에점,"| 월~목 08:30~22:00 | 금 08:30~23:00 | 토 09:00~23:00 | 일, 공휴일 09:00~22:00 |","서울시 종로구 대학로 12길 62 지하1층,지상1,2층",02-742-3318,"서울특별시종로구대학로12길62지하1층,지상1,2층",정,127.00370465685444,37.58139942178902
디큐브시티점,I 월-일 11:00~22:30 I,서울시 구로구 경인로 662 디큐브시티 4층,02-2210-9484,서울특별시구로구경인로662디큐브시티4층,정,126.88821364888041,37.50812409475955
선릉로93길점,월-금 07:00~22:00 | 주말.공휴일 08:00~22:00,서울시 강남구 선릉로93길 6(역삼동) 1층,02-552-3177,서울특별시강남구선릉로93길6(역삼동)1층,유,127.04415049798678,37.50424721374269
무교점,월-금 07:00~22:00 | 토요일 09:00~21:00 | 일/공휴일 09:00~21:00,"서울시 중구 태평로1 84호 SFC빌딩B1,1-4",02-753-2374,"서울특별시중구태평로184호SFC빌딩B1,1-4",정,126.97773976639267,37.56842736432349
강남역먹자골목점,월-금 07:30~23:00 | 토요일 08:00~23:00 | 일/공휴일 08:00~23:00,서울시 강남구 테헤란로1길 29 1층일부 및 2.3층,02-552-6311,서울특별시강남구테헤란로1길291층일부및2.3층,유,127.02669637964462,37.50155291195681
청주지웰시티점,평일/주말 07:30~22:00,"충북 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호",043-238-3151,"충청북도청주시흥덕구대농로17지웰시티몰1층124-1,125,126호",정,127.42420173010824,36.644500567890724
인사점,월-금 07:00~22:30 | 토요일 07:00~22:30 | 일/공휴일 07:00~22:30,서울시 종로구 낙원동 272 오라카이스위츠 1층,02-6262-8100,서울특별시종로구낙원동272오라카이스위츠1층,정,126.98733421956548,37.57300705948503
서울대입구역점,"I 평일 07:00~22:00 I 주말,공휴일 08:00~22:00 I","서울시 관악구 관악로 161 층일부 2,3층",02-882-3101,"서울특별시관악구관악로161층일부2,3층",정,126.95218462151288,37.47960820444831
안국역점,월-금 07:00~23:00 | 토요일 08:00~23:00 l 일요일/공휴일 08:00~22:00,"서울시 종로구 율곡로 47 1,2층",02-722-3356,"서울특별시종로구율곡로471,2층",유,127.00997835469009,37.570277778392445
상암SBS미디어센터점,평일 07:00~21:00 | 토/일/공휴일 08:30~20:00,서울시 마포구 상암산로 82 SBS프리즘타워 1층,02-2039-9027,서울특별시마포구상암산로82SBS프리즘타워1층,정,126.89277358401814,37.57971546093238
뉴가로수길점,월-목 07:00~21:00 | 금 07:00~21:30 | 토 07:30~21:30 | 일/공휴일 07:30~21:00,서울시 강남구 가로수길 83,02-544-7105,서울특별시강남구가로수길83,정,127.02231937004633,37.52353199947175
마리오아울렛점,매일: 10:30~21:00,서울시 금천구 디지털로9길 23 마리오-2관 패션타워3층,02-857-5501,서울특별시금천구디지털로9길23마리오-2관패션타워3층,정,126.88647700952225,37.47872012551434
삼성로점,"월~수 07:00 - 22:00 | 목,금 07:00 - 23:00| 토,일,공휴일 08:00 - 22:00","서울시 강남구 삼성로 551 1층,2층",02-552-9311,"서울특별시강남구삼성로5511층,2층",유,127.04729653782361,37.52349517661919
코엑스인터점,평일 07:00~21:00ㅣ주말/공휴일 07:00~21:00,서울시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드,02-569-3103,서울특별시강남구봉은사로524코엑스인터컨티넨탈아케이드,정,127.05711410749763,37.512944160965084
서초뱅뱅사거리점,"월~금 07:00~22:00 | 토,일/공휴일 08:00~21:00","서울시 서초구 강남대로 267 2,3층",02-523-8841,"서울특별시서초구강남대로2672,3층",유,127.01848611448254,37.518105598225794
선릉로86길점,"월-금 7:30~22:00 | 주말,공휴일 8:00-21:00",서울시 강남구 선릉로86길 11,02-2051-8875,서울특별시강남구선릉로86길11,정,127.0505871248049,37.50340477025462
현대자동차여의도점,"월 ~금 06:30~21:00 주말,공휴일 07:30~22:00",서울시 영등포구 국제금융로 20 1층,02-783-3391,서울특별시영등포구국제금융로201층,유,126.93461207155224,37.517690612301934
뉴교보타워옆점,"월-금 07:00~22:00 | 토,일 07:00~22:00","서울시 서초구 강남대로 449-3 알고코리아빌딩 1,2층",02-591-5177,"서울특별시서초구강남대로449-3알고코리아빌딩1,2층",정,127.02488289340184,37.50236045984148
부평문화의거리점,월-목 09:00~23:00 | 금 09:00 ~ 00:00/토 09:00~00:00 / 일 09:00 ~ 23:00,"인천광역시 부평구 시장로29 1,2층",032-507-9901,"인천광역시부평구시장로291,2층",유,126.72951460617924,37.49764125744611
압구정현대아파트점,매일 08:00~21:00 |,서울시 강남구 압구정로29길65 지하1층,02-518-3350,서울특별시강남구압구정로29길65지하1층,정,127.02700323670018,37.531810862828436
판교아브뉴프랑점,평일 07:00-22:00 l주말/공휴일 07:00-22:00,경기도 성남시 분당구 동판교로177번길 25,031-8016-8131,경기도성남시분당구동판교로177번길25,정,127.11356210043837,37.39732103088378
현대자동차성내점,"평일 07:00~22:00 | 주말,공휴일 07:30~22:00","서울시 강동구 천호대로 1096 1,2F",02-485-3361,"서울특별시강동구천호대로10961,2F",유,127.17315150308454,37.547378270408835
여의도교보증권카페점,평일 07:00~20:00  | 주말/공휴일 휴점,서울시 영등포구 의사당대로 97 교보증권빌딩 2층,02-785-8845,서울특별시영등포구의사당대로97교보증권빌딩2층,정,126.92458636761239,37.52251670422388
강남대로센터점,월-일 07:00~22:00 I,서울시 강남구 강남대로442 흥국화재빌딩 2층,02-565-3345,서울특별시강남구강남대로442흥국화재빌딩2층,정,127.02605618577263,37.50206502077411
현대자동차남양연구소점,평일 : 06:30 ~ 18:30 / 주말(공휴일) : 휴무,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 설계1동1F,031-357-8103,경기도화성시장덕동현대연구소로150현대자동차남양연구소설계1동1F,대,126.8098240262058,37.16074335152608
IFC MALL2호점,"월 ~금 06:30~22:00 l 주말,공휴일 07:30~22:00",서울시 영등포구 국제금융로10 IFC Mall L2,02-6137-5054,서울특별시영등포구국제금융로10IFCMallL2,정,126.92487602368978,37.52517710110054
수원인계점,월-금 08:00~22:00 | 주말/공휴일 08:00~22:00,경기도 수원시 팔달구 권광로 195 학산빌딩1층,031-233-5631,경기도수원시팔달구권광로195학산빌딩1층,정,127.03268512048452,37.26494738096654
광화문역1번출구점,월-금 07:00~22:00 | 주말 10:00~21:00,서울시 종로구 새문안로5가길 7 1층 일부,02-723-3360,서울특별시종로구새문안로5가길71층일부,유,126.97294409425493,37.57523338263761
현대프리미엄아울렛김포점,평일&주말 10:00~21:00,경기 김포시 고촌읍 전호리 654번지 현대프리미엄아울렛김포3층 618호,031-8048-2618,경기도김포시고촌읍전호리654번지현대프리미엄아울렛김포3층618호,정,126.78562808255604,37.59940957015996
도심공항점,"평일 07:00~22:00ㅣ주말,공휴일 09:00~22:00",서울시 강남구 테헤란로87길22 도심공항터미널 지하1층,02-551-6456,서울특별시강남구테헤란로87길22도심공항터미널지하1층,정,127.05944326417,37.50963226851808
구로G-ValleyMall,월-금 07:00~22:00 | 주말/공휴일 10:00~20:00 I,서울시 구로구 디지털로300 지밸리비즈플라자 2층,02-6344-3966,서울특별시구로구디지털로300지밸리비즈플라자2층,정,126.8965383362684,37.484926403481474
CBTL(커피빈)파르나스몰점,평일 07:00~22:00 | 주말/공휴일 08:00~22:00,서울시 강남구 테헤란로521 파르나스몰 지하1층,02-538-2008,서울특별시강남구테헤란로521파르나스몰지하1층,정,127.06080747811988,37.50919117643693
일산원마운트점,월-금 09:00~22:00 | 토요일 10:00~22:00 | 일/공휴일 10:00~22:00,경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층,031-961-6520,경기도고양시일산서구한류월드로300원마운트스포츠몰1층,정,126.75452651780054,37.66455404085526
역삼역4번출구점,월-금 07:00~22:00 | 토요일 08:00~21:00 | 일/공휴일 09:00~18:00,서울시 강남구 테헤란로143 고운빌딩1층,02-508-1137,서울특별시강남구테헤란로143고운빌딩1층,정,127.0348988796034,37.50062103817486
남양연구소C1식당점,월-목요일 7:00~18:30 | 금요일 7:00~18:00 | 토-일/공휴일 휴점,경기 화성시 장덕동 현대연구소로150 현대자동차남양연구소 C1구역식당1F,031-357-8172,경기도화성시장덕동현대연구소로150현대자동차남양연구소C1구역식당1F,대,126.8098240262058,37.16074335152608
내방역7번출구유중아트점,월-금 07:00-21:00 | 토/일/공휴일 8:00-21:00,서울시 서초구 방배로178 유중아트센터1층,02-592-8861,서울특별시서초구방배로178유중아트센터1층,정,126.99284286897439,37.48954333664947
여의도신영증권별관점,"월 ~금 07:00~22:00  주말,공휴일 09:00~20:00",서울시 영등포구 국제금융로8길6 신영증권별관빌딩2층,02-782-1125,서울특별시영등포구국제금융로8길6신영증권별관빌딩2층,정,126.92969786955156,37.521808698380575
인천공항탑승동130gate앞점,매일 08:00~16:30,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-57,032-743-7213,인천광역시중구공항로272인천국제공항탑승동3층FB-C5-57,정,126.44910581361283,37.457537048269906
석촌호수점,"월-목 07:00~22:00 | 금,토 07:00~22:00 | 공휴일 07:00~22:00",서울시 송파구 석촌호수로 222 제이타워 1층,02-415-1235,서울특별시송파구석촌호수로222제이타워1층,정,127.10155315512004,37.50706872852648
이태원제일기획옆점,평일 07:00~22:00 | 주말/공휴일 08:00~22:00,서울시 용산구 이태원로220(한남동) 1층,02-792-3560,서울특별시용산구이태원로220(한남동)1층,유,127.00248491140009,37.540869658443135
낙성대역점,"평일 08:00~20:00 | 주말, 공휴일 08:00~21:00","서울시 관악구 남부순환로1909 1,2층",02-875-3364,"서울특별시관악구남부순환로19091,2층",유,126.98101308633916,37.47605629491731
차병원사거리점,월-금 07:00~22:00 | 토-일요일 08:00~22:00,서울시 강남구 봉은사로207 KJ타워1층,02-542-8813,서울특별시강남구봉은사로207KJ타워1층,정,127.03466287215593,37.50784088972087
광교아브뉴프랑점,매일 08:00~22:00,"경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 1층 A122,123호",031-216-9308,"경기도수원시영통구이의동1332광교아브뉴프랑1층A122,123호",정,127.0505156937094,37.29067266729703
남양연구소PT동점,월-목 07:00~18:30ㅣ 금 07:00~18:00 I 주말/공휴일 휴무,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 PT동 1층,031-355-1346,경기도화성시장덕동현대연구소로150현대자동차남양연구소PT동1층,대,126.8098240262058,37.16074335152608
오목교역사거리점,월 ~금 07:00~22:00 토/일 08:00~22:00,"서울시 양천구 오목로 350 목동썬텍씨티빌딩 1층,2층",02-2653-8577,"서울특별시양천구오목로350목동썬텍씨티빌딩1층,2층",정,126.8762662142002,37.52414800842375
타임스퀘어점,월-목 07:00~22:00 / 금 07:00~22:30 / 토 08:00~22:30 / 일 08:00~22:00,서울시 영등포구 영중로15 타임스퀘어 1층,02-2635-8830,서울특별시영등포구영중로15타임스퀘어1층,정,126.90437835969374,37.516872310468564
강남역GT타워옆점,"월-금 06:30~22:00 | 토 07:00~22:00 | 일 ,공휴일 07:00~21:00I",서울시 서초구 서초대로73길12 세계빌딩1층,02-592-0053,서울특별시서초구서초대로73길12세계빌딩1층,정,127.0257322522954,37.49854481688068
포스코옆삼성로86길점,평일 07:00~21:00 | 주말/공휴일 :09:00~17:00,서울특별시 강남구 삼성로86길 11 거봉빌딩 1층,02-569-7501,서울특별시강남구삼성로86길11거봉빌딩1층,정,127.05829351691047,37.50589544916253
