,이름,설명,평가,내용
31,아이엠더문,"디자인, 향, 맛에 세 번 반하다",달밤에 어울리는 연분홍 술 '아이엠더문'은 조은술세종의 프리미엄 증류주 '이도'를 베이스로 한 고급 리큐르입니다. 파스타나 석쇠닭갈비 등과 잘 어울립니다.,"아이엠더문, 어떤 술인가요?
디자인, 향, 맛까지.
세 번 반하게 만드는 리큐르, 아이엠더문
아이엠더문은 다양한 과일 농축액에 조은술세종의 유기농 쌀 증류주인 ‘유기농 이도’를 넣어 만든 리큐르입니다.
국내산 사과, 딸기, 포도와 블러드 오렌지까지 달콤한 과일 농축액으로 만들어,
향기로운 향부터 상큼한 맛까지 모두 느낄 수 있는 매력적인 술인데요.
도수가 낮은 편은 아니지만 부드러운 목넘김, 깔끔한 뒷맛 덕분에 술을 잘 드시지 못하는 분들도 즐기실 수 있을 거예요.
세련된 패키지에 반하고, 향긋한 과실향에 반하고, 상큼한 맛까지 세 번 반하게 만드는 아이엠더문은 특별한 날에 먹기에 좋습니다.
특히 여성분들에게 인기가 많은 술입니다.
아이엠더문, 어떻게 만드나요?
유기농 쌀 증류주 ‘유기농 이도’와 과일 농축액의 밸런스
아이엠더문은 유기농 우리쌀로 빚은 증류주인 ‘유기농 이도’를 베이스로,
여기에 국내산 사과, 딸기, 포도, 블러드 오렌지 등 다양한 과일 농축액을 넣어 만든 리큐르입니다.
‘유기농 이도’의 경우, 지하 천연암반수와 친환경 100% 유기농 우리쌀, 순수 토종 효모로 빚은 전통소주인데요.
술이 약하신 분들도 즐길 수 있도록 최상의 향과 맛을 조합하기 위해 노력하였습니다.
1년 간의 기나긴 연구개발 끝에 비로소 아이엠더문이 탄생하게 되었습니다.
아이엠더문, 음식과의 궁합은?
케이크 / 쿠키
떡
아이엠더문은 상큼한 과실향과 맛으로 식전주, 식후주에 유독 잘 어울립니다.
식전주에 아이엠더문을 곁들일 경우, 입안의 텁텁함을 씻어줄 뿐 아니라 식욕을 돋워주기에 제격이죠.
케이크, 쿠키 등 디저트 종류와의 조합도 좋고, 떡과 같은 한식 디저트와의 조합도 훌륭합니다.
고도수는 아니지만 조금 더 가볍게 즐기고 싶으신 분들은 탄산수, 레몬주스, 바닐라 아이스크림 등 다양한 음용법으로 즐겨보시면 좋습니다.
영롱한 코랄빛으로 분위기 내기에도 좋아, 홈파티용으로도 제격이에요.
 "
32,금이산농원 복숭아와인,향긋한 복숭아가 녹아든 와인,"세종시에서 수확되는 복숭아로만 만든 복숭아와인으로 백도의 향과 맛을 정말 잘 살린 와인입니다.
달콤한 하얀 복숭아에 은은한 산미가 더해져 계속해서 마시게 되는 매력을 가졌습니다.여름 느낌의 와인으로 복숭아를 좋아하는 사람이라면 실패하지 않을 술입니다.
티라미수, 타르트, 판나코타 등 디저트와 추천드리며 홈파티에 함께 한다면 분위기를 한껏 올려줄거예요.","금이산농원 복숭아와인, 어떤 술인가요?
복숭아의 향긋함이 그대로 녹아있는 우리나라 화이트와인
금이산농원 복숭아와인은 세종시 조치원에서 재배한 복숭아로 만든 와인입니다.
예쁜 디자인, 투명한 유리병, 화이트와인이라 가볍게 마시기 좋은 점 등으로 한때 커뮤니티, SNS에서 화제가 되었는데요.
자극적이지 않은 향긋한 복숭아향, 복숭아의 달콤함, 여기에 느껴지는 산미까지 밸런스가 상당히 좋아 특별한 날에 마시기 좋고 선물하기도 좋습니다.
세련된 디자인 때문에 구매했다가 맛과 향에 반해, 재구매를 하는 경우가 많은 매력적인 술입니다.
금이산농원 복숭아와인, 어떻게 만드나요?
세종시 조치원에서 재배한 잘 익은 복숭아를 저온발효시킨 와인
어떻게 먹어도 맛있는 복숭아지만, 사실 와인으로 생산하기에 복숭아는 까다로운 재료입니다.
그렇기 때문에 복숭아와인을 만들기까지 정성과 시간이 필요합니다.
금이산농원 복숭아와인은 세종시 조치원에서 재배한 복숭아를 재료로, 와인에 향긋한 복숭아향을 내기 위해 적정한 낮은 온도에서 천천히 발효시킵니다.
그렇게 2주간 발효시키고 나면 향긋한 복숭아향이 담기게 되고, 발효와 숙성과정을 수 없이 반복하며 약 1년 정도의 시간과 정성을 쏟아 부어 제조합니다.
이렇게 완성된 금이산 복숭아와인에는 복숭아의 향과 맛이 가득 담기게 됩니다.
금이산농원 복숭아와인, 음식과의 궁합은?
샐러드
카나페 / 핑거푸드
단맛과 산미, 향긋함까지 모두 갖춘 금이산농원 복숭아와인은 사실 안주없이 하나만으로 즐겨도 충분히 매력적인 술입니다.
여기에 음식과 곁들인다면, 샐러드나 카나페 등 핑거푸드와 같이 자극적이지 않으면서 간단한 안주에 곁들이는 것을 추천드리고 싶습니다.
또한, 금이산농원 복숭아와인은 꼭 차갑게 드셔야 하는데요.
실온에서 드시는 것과 차갑게 드시는 것은 하늘과 땅 차이라고 하니, 꼭 참고하시길 바랍니다.
 "
33,정고집 옛날 생동동주,"밥알 동동, 가볍고 청량한 탁주","나주평야 곡창지대의 쌀로 만드는 동동주로, 청량감이 좋고 은은한 당도와 산미의 밸런스가 좋은 술입니다.동동 떠 있는 밥알이 향수를 자극해요. 청량감이 좋은 제품으로, 시원하고 편안하게 즐기기 좋습니다.","정고집 옛날 생동동주, 어떤 술인가요?
밥알 동동, 가볍고 청량한 탁주
동동주와 막걸리의 차이, 아시나요?
동동주는 술을 빚을 때 발효가 진행되면서 떠오른 쌀알을 윗술과 함께 떠낸 술입니다.
막걸리는 발효가 더 진행된 후 아래 가라앉은 술지게미를 걸러 낸 것이고요.
국내에 막걸리는 많지만 동동주를 표방하는 제품은 많지 않습니다.
그럼에도 정고집 옛날 생동동주는 밥알을 그대로 제품에 담아 동동주 특유의 정체성을 고집해 만들어요.
가볍고 청량한 스타일로, 달콤하게 즐길 수 있는 특징을 지녀 소비자 선호도가 높은 제품이지요.
정고집 옛날 생동동주, 어떻게 만드나요?
맛도 정성도 두 배로
정고집 옛날 생동동주는 전라남도 나주에 자리한 남도탁주에서 생산합니다.
효모를 오래 살리는 방식으로 쌀알을 띄워 만들지요.
발효 시작부터 제품이 만들어지기까지는 30여일이 소요됩니다.
기성 막걸리 제품과 비교했을 때 두 배 가까운 시간이 들어가는데요.
술이 품은 맛과 향을 잘 살리기 위한 선택이라고 합니다.
남도탁주는 식품의약품안전처가 인증한 식품위생 관련 우수 사업장으로, 믿고 마실 수 있는 우리술을 만드는 양조장이기도 해요.
정고집 옛날 생동동주, 음식과의 궁합은?
해물파전
김치전
정고집 옛날 생동동주는 달콤하고 청량한 맛이 주를 이루는 술입니다.
해물파전이나 김치전 등 기름지고 매콤한 맛을 가진 음식에 곁들여 먹기 좋지요.
바삭하게 지져 낸 해물파전의 기름진 맛을 경쾌한 천연 탄산이 말끔히 씻어내고, 김치전이 가진 매콤함을 정고집 옛날 생동동주 특유의 단 맛이 중화해 냅니다.
 "
34,해창 생 막걸리 12도,막걸리 본연의 맛에 다가서다,"찹쌀의 단 맛과 새콤한 과실의 향이 잘 어우러진 매력적인 막걸리입니다. 단맛과 산미가 적당해 어떤 음식과도 잘 어울릴 수 있는 막걸리입니다.진한 농도의 막걸리를 좋아하는 분에게 추천할 수 있는 제품입니다. 알코올도수가 높은 만큼 무게감과 깊이감이 느껴지며, 다양한 과실향과 누룩향이 서로 좋은 균형을 이루는 막걸리예요.","해창 생 막걸리, 어떤 술인가요?
막걸리 본연의 맛에 다가서다
해창 생 막걸리는 전라남도 해남의 해창주조장에서 빚는 막걸리입니다.
6도, 9도, 12도 세 가지 제품군으로 나누어 생산되지요.
도수에 따라 조금씩 차이가 있지만, 단 맛이 적고 투박한 질감과 풍미가 해창 생 막걸리의 주요한 특징입니다.
원 재료의 맛을 잘 살린 프리미엄 막걸리로, 술꾼들에게는 물론 입소문을 타고 대중적인 인기까지 높아졌는데요.
2018년에는 <대한민국 주류대상> 프리미엄 탁주 부문에 선정되며 높은 품질과 대중적 인기를 모두 충족하는 제품이 됐습니다.
해창 생 막걸리, 어떻게 만드나요?
가감 없는 본연의 맛 위한 양조
해창 생 막걸리를 만드는 해창주조장은 '있는 그대로의 맛'을 추구합니다.
더하고 뺄 것 없이 재료가 가진 본연의 맛을 중시하지요.
앞선 철학을 토대로, 해창 생 막걸리는 일정한 온습도가 유지되는 환경에서 15일 이상 발효기간을 거쳐 만들어지는데요.
9도, 12도 제품에는 쌀과 물, 누룩 외에 첨가물이 전혀 들어가지 않습니다.
기교 없이 투박하게 내놓는 데서 느껴지는 향과 맛이 오히려 해창 생 막걸리를 더욱 특별하게 하는 요소가 됩니다.
해창 생 막걸리, 음식과의 궁합은?
두부김치
꼬막무침
해창 생 막걸리는 진한 질감과 낮은 당도, 적당한 산미가 특징을 이루는 막걸리입니다.
두부김치 등 담백하고 새콤한 조합을 가진 음식에 곁들여 먹기 좋은데요.
부담스럽지 않고 조밀한 질감을 가진 두부와 매콤새콤한 김치 맛이 해창 생 막걸리 특유의 질감 및 산도와 잘 어우러집니다.
꼬막무침과 같이 적당한 양념이 가미된 안주와 함께 즐겨도 좋습니다.
 "
35,해창 생 막걸리 9도,품질과 대중성을 다 잡은 막걸리,"찹쌀의 단 맛과 새콤한 과실의 향이 잘 어우러진 매력적인 막걸리입니다. 단맛과 산미가 적당해 어떤 음식과도 잘 어울릴 수 있는 막걸리입니다.진득한 맛을 좋아한다면 추천할 만한 제품입니다. 해창 6도에 비해 밀도가 높으며, 바나나향과 누룩향의 조화가 인상깊습니다.","해창 생 막걸리, 어떤 술인가요?
품질과 대중성, 두 마리 토끼 다 잡은 막걸리
해창 생 막걸리는 전라남도 해남의 해창주조장에서 빚는 막걸리입니다.
6도, 9도, 12도 세 가지 제품군으로 나누어 생산되지요.
도수에 따라 조금씩 차이가 있지만, 단 맛이 적고 투박한 질감과 풍미가 해창 생 막걸리의 주요한 특징입니다.
원 재료의 맛을 잘 살린 프리미엄 막걸리로, 술꾼들에게는 물론 입소문을 타고 대중적인 인기까지 높아졌는데요.
2018년에는 <대한민국 주류대상> 프리미엄 탁주 부문에 선정되며 높은 품질과 대중적 인기를 모두 충족하는 제품이 됐습니다.
해창 생 막걸리, 어떻게 만드나요?
가감 없는 본연의 맛 위한 양조
해창 생 막걸리를 만드는 해창주조장은 '있는 그대로의 맛'을 추구합니다.
더하고 뺄 것 없이 재료가 가진 본연의 맛을 중시하지요.
앞선 철학을 토대로, 해창 생 막걸리는 일정한 온습도가 유지되는 환경에서 15일 이상 발효기간을 거쳐 만들어지는데요.
9도, 12도 제품에는 쌀과 물, 누룩 외에 첨가물이 전혀 들어가지 않습니다.
기교 없이 투박하게 내놓는 데서 느껴지는 향과 맛이 오히려 해창 생 막걸리를 더욱 특별하게 하는 요소가 됩니다.
해창 생 막걸리, 음식과의 궁합은?
두부김치
꼬막무침
해창 생 막걸리는 진한 질감과 낮은 당도, 적당한 산미가 특징을 이루는 막걸리입니다.
두부김치 등 담백하고 새콤한 조합을 가진 음식에 곁들여 먹기 좋은데요.
부담스럽지 않고 조밀한 질감을 가진 두부와 매콤새콤한 김치 맛이 해창 생 막걸리 특유의 질감 및 산도와 잘 어우러집니다.
꼬막무침과 같이 적당한 양념이 가미된 안주와 함께 즐겨도 좋습니다.
 "
36,삼양춘 청주,세 번 빚은 한국형 청주,"술을 빚기 위한 필수 재료 외에는 어떤 것도 첨가하지 않은 무첨가 청주입니다. 단맛, 신맛 모두 강하지 않고 곡물향과 과실향이 느껴져 편하게 마시기 좋아요.","삼양춘 청주, 어떤 술인가요?
세 번 빚은 한국형 청주, 삼양춘 청주
삼양춘 청주는 석 삼(三), 빚을 양(釀), 봄 춘(春), 즉 ‘세 번 빚은 술’, ‘겨울에 빚어 봄에 마시는 술’이라는 의미를 가진 우리술입니다.
정월 첫 돼지날, 해일에 시작해 돌아오는 돼지일마다 세 번에 걸쳐 빚는 서울의 술인 ‘삼해주’를 모티브로 한 삼양춘은
2018년 대한민국 주류대상 약주 부문 BEST OF BEST 1위 수상(삼양춘 약주), 탁주 부분에서 대상을 수상(삼양춘 탁주)하며 품질을 인정받았는데요.
기술과 정성을 그대로 2020년 3월에 삼양춘 청주를 신제품으로 출시하였습니다.
인공 감미료를 일체 사용하지 않아 자연스러운 단맛이 올라오며 드라이함 속에서 느껴지는 약간의 산미는 입 안에 즐거움을 선사해줍니다.
삼양춘 청주, 어떻게 만드나요?
세 번에 걸친 제조, 세번에 걸친 발효. 無 감미료 순수 발효주
삼양춘 청주는 해풍을 맞고 자란 강화도의 강화섬 쌀로 빚습니다.
약주와 다른 점은 누룩을 극소량으로 하고 전통 누룩에서 발췌한 토종효모로 빚은 한국형 청주라는 것인데요.
無 아스파탐, 無 감미료로 100% 국내산 원료만을 사용해 빚고 있습니다.
삼양춘 청주에는 백국과 황국, 두 종류의 입국을 사용하며 항아리에서 장기 숙성 과정을 거칩니다.
이러한 과정에서 자연스러운 단맛과 부드러운 과실향이 풍겨져 나와 한잔 두잔 술술 들어가게끔 만드는 매력적인 술입니다.
삼양춘 청주, 음식과의 궁합은?
연어회 / 생선찜
단맛과 산미 그리고 은은한 과실향을 내는 삼양춘 청주는 어떠한 음식에 곁들여도 어색하지 않는데요.
삼양춘 청주 본연의 맛을 좀 더 깊게 느끼고 싶다면, 연어회나 양념이 과하지 않은 생선찜 등에 곁들이면 좋습니다.
삼양춘 청주에서 과하지 않고 은은하게 나는 산미는 회나 생선류에서 나오는 비릿함을 잡아줄 뿐만 아니라, 뒷맛을 깔끔하게 마무리해줍니다.
 "
37,선호 생막걸리,임금님 진상 쌀로 만든 명품 막걸리,"시원한 탄산감에 담백한 맛, 은은한 산미와 고소한 쌀내음이 매력적인 막걸리입니다. 깔끔하고 담백한 막걸리를 찾으시는 분들에게 추천드립니다.달달고소한 곡물향과 풀내, 살짝 약초같은 느낌이 있어요. 마시면 산미가 강하게 느껴지며 세밀한 탄산감을 느낄수 있습니다. 여운은 길지 않아 깔끔하네요.김포금쌀로 만든 최초의 막걸리라고 알려진 제품이에요. 전반적으로 가성비가 매끄러운 목넘김을 느낄 수 있습니다.","선호 생막걸리, 어떤 술인가요?
임금님 진상 쌀로 만든 명품 막걸리
선호 생막걸리는 경기도 김포에 자리한 김포금쌀탁주 양조장에서 생산하는 술입니다.
임금에게 진상하던 특산물로도 잘 알려진 명품 쌀, 김포금쌀을 사용해 만드는 막걸리인데요.
맑고 가벼우며 청량한 맛이 특징입니다.
단 맛과 신 맛, 어느 하나 과하지 않고 적당해요.
은은한 쌀 풍미와 쌉쌀한 탄산감이 매력적이지요.
막걸리 특유의 질감과 진한 누룩 향에 거부감을 드러내는 이에게 추천할 만한 제품입니다.
선호 생막걸리, 어떻게 만드나요?
3대를 이어 온 양조 전통과 철학
김포 생막걸리에는 80년 동안 이어 온 3대의 양조 철학이 담겨 있습니다.
김포금쌀탁주 최춘기 대표는 ""내가 마시고 싶은 술을 만든다""는 생각으로 술을 빚어 냅니다.
생산비용 절감을 위해 쌀가루나 혼합, 팽화미 등 값싼 재료를 쓰는 행위를 지양하고 정직하고 자신 있게 만들어야 한다는 것이지요.
오랜 양조 노하우와 철학에 따라, 최상급 김포금쌀을 활용해 만든 김포 생막걸리는 손으로 직접 담는 공정을 거쳐 완성됩니다.
선호 생막걸리, 음식과의 궁합은?
고사리나물 / 애호박전
선호 생막걸리는 다른 막걸리에 비해 상대적으로 맛이 강하지 않은 술입니다.
고사리나물, 애호박전과 같이 삼삼한 안주를 곁들여 마실 때 상승효과를 낼 만한 특징이지요.
고사리나물의 쌉쌀한 맛, 애호박전이 가진 담백한 맛이 선호 생막걸리와 잘 어우러져 음식과 술에 감춰진 감칠맛을 더욱 끌어올릴 수 있습니다.
 "
38,동학 1957,2018 평창 동계올림픽 공식 판매주,"쌀 본연의 고소함과 단맛, 그리고 담백함이 맛의 주를 이루며, 산미가 밸런스 좋게 잡혀 있어 질리지 않고 마실 수 있는 술이에요.","동학 1957, 어떤 술인가요?
2018 평창 동계올림픽 공식 판매주, 동학 1957
동학 1957은 2018 평창 동계올림픽 공식 판매주로 선정되어, 국내 뿐만 아니라, 세계인에게도 호평을 받은 우리술입니다.
물 좋기로 유명한 충북 충주에서 국내산 쌀과 천등산 지하암반수로 빚어 깨끗한 맛이 특징인데요.
쌀의 은은한 단맛이 먼저 입안을 감싸며, 마지막에는 산미를 느낄 수 있습니다.
이 둘의 밸런스가 상당히 좋아 남녀노소 누구나 좋아하는 술로, 혼술 뿐만 아니라, 반주로 가볍게 즐기기에도 제격입니다.
동학 1957, 어떻게 만드나요?
물 맑고 공기 좋은 충주의 ‘물’과 품질 좋은 ‘국내산 쌀’로 빚다.
동학 1957은 미네랄이 풍부하기로 유명한 충북 충주에 위치한 천등산 박달재 자락의 지하암반수와 품질좋은 국내산 쌀로 빚은 술입니다.
술을 빚을 때 가장 중요한 요소가 ‘물’이라는 생산자 고헌정영농조합법인은 물에 가장 많은 신경을 쓰며,
동학 1957을 제조하게 되었고, 비로소 맑고 깨끗한 청주가 탄생하게 되었습니다.
전통제조방식과 현대식 기술이 융합하여 제조되고 있는 동학 1957은 저온 냉동여과방식으로 숙성해, 맑고 깊은 맛이 일품입니다.
동학 1957, 음식과의 궁합은?
메밀전병 / 도토리묵무침
돼지고기수육
단맛과 산미가 잘 어울러져, 식중주로 좋은 역할을 하는 동학 1957은 한식과의 조합이 매우 훌륭합니다.
한식 중에서도 어느 하나에 국한되지 않고, 어떤 음식과도 잘 어울리는 편인데요.
야들야들 잘 삶아진 수육처럼 부드러운 음식과의 조합도 좋고,
새콤한 김치속이 들어간 메밀전병이나 탱글탱글한 도토리묵에 아삭한 상추, 양파 등이 더해진 도토리묵무침에 곁들여 먹는 방법도 추천드립니다.
 "
39,이도 32,세종 재위 32년을 기념한 술,고소한 곡물향과 과일의 달콤하고 화려한 향이 잘 어우러지는 증류주입니다. 목넘김이 좋고 입에서 깔끔하게 마무리되어 향긋하고 깔끔한 술을 찾으시는 분들에게 추천드려요.은은한 달콤함이 혀에 남고 달달고소한 곡물향이 여운을 남겨요. 시간이 지날수록 달달고소한 곡물향으로 바뀌면서 마지막에는 과일향이 나는게 반전 매력이 있는 술이에요.,"유기농 이도 32, 어떤 술인가요?
세종대왕의 장기 재위 32년을 기념한 승승장구주
유기농 이도 32는 친환경 100% 유기농 우리쌀로 빚은 증류주입니다.
‘이도’는 세종대왕의 왕이 되기 전 세자 때의 이름입니다.
‘유기농 이도 32’는 세종대왕의 장기재위 기간인 32년을 기념한 승승장구주인데요, 이 때문인지 많은 사람들이 승진을 축하할 때 이도32를 선물한다고 하네요.
2016년에는 대한민국 우리술 품평회(증류식 소주 부문)에서 대상을 차지하기도 한 우리술로,
다소 도수가 높지만, 그 도수가 느껴지지 않을 만큼 부드럽고 깊으며, 은은하게 느껴지는 단맛이 기분을 좋게 만들어줍니다.
유기농 이도 32, 어떻게 만드나요?
친환경 100% 유기농 우리쌀로 빚은 증류주
유기농 이도는 지하 천연암반수와 친환경 100% 유기농 우리쌀, 그리고 순수 토종 효모로 빚은 증류식 전통소주입니다.
유기가공인증을 최초로 받은 증류식 소주이기도 한데요.
원료의 차별화를 위해 유기농재료를 고집하여 빚고 있다고 합니다.
갓 도정한 쌀로 밥을 지으면 밥맛이 좋듯이, 유기농 이도에는 갓 찧은 당해 연도 신선한 쌀만을 이용해,
오랜 기간 발효 숙성시키고, 저온 감압 증류방식을 사용해 술을 담그고 있습니다.
유기농 이도 32, 음식과의 궁합은?
돼지고기 수육 / 보쌈
전
유기농 이도에서는 유기농 쌀의 풍미를 느낄 수 있기 때문에 어떤 한식과도 잘 어울리는 편입니다.
그 중에서도 수육, 보쌈과 같은 돼지고기와 관련된 음식에 곁들이면 좋은데요.
조금은 삼삼하다고 생각된다면, 수육과 보쌈에 빠지지 않은 아삭아삭하고 매콤새콤한 겉절이,
무말랭이무침과 함께 하시면 살짝의 자극과 함께 입맛을 돋워줘 유기농 이도를 장시간 즐기기에도 좋습니다.
 "
40,삼해소주,1000년의 역사를 지닌 서울의 술,"고소한 곡물의 향과 누룩 향, 감칠맛과 도수 대비 부드러운 목넘김을 가진 술로, 술 자체의 깊은 풍미가 좋아 많은 이들에게 사랑받고 있습니다.깊고 진한 향과 묵직한 뒷맛이 조화를 이루는 정통 소주입니다. '내가 진짜 소주다'라고 외치는 듯한 맛을 가지고 있어요. 입문자보다는 애호가에게 추천할 만한 제품입니다.고소함을 넘어 구수한 향이 나요. 고사리나물 같은 느낌도 있네요. 마치 누룽지 사탕을 먹은 듯한 여운을 남깁니다. 생산량이 적어 귀한 술입니다.","삼해소주, 어떤 술인가요?
1000년의 역사를 지닌 서울의 술, 삼해소주
삼해소주는 서울의 무형 문화재로 지정되어 있는 술로,
정월 첫 돼지날인 해일에 시작해, 돌아오는 돼지일마다 세 번에 걸쳐 빚는다고 하여, ‘삼해주’라는 이름이 붙였다고 해요.
곡향과 누룩향이 한데 어우러져, 맛과 향이 깊은데 뒷맛이 깔끔하다는 것이 특징입니다.
고도수의 술임에도 첨가물이 일절 들어가지 않아 숙취가 없어요.
그러니 천천히 음미하면서 삼해소주의 진가를 제대로 느껴보시길 바랍니다.
삼해소주, 어떻게 만드나요?
완성되기까지 100일. 백일주, 삼해소주
삼해소주는 만들어지기까지 약 100일 정도가 걸린다고 하여, ‘백일주’라고도 불린 서울의 전통 가양주인데요.
주 재료는 쌀과 누룩, 그리고 물입니다. 이 재료로 맑은 약주를 만들고, 숙성시켜서 장기간 저온 발효하면 삼해소주가 완성됩니다.
이 과정에서 약주 투입 양의 30% 정도만 삼해소주가 되기에 프리미엄 소주로도 유명한데요.
까다로운 제조 과정 속에서 완성된 삼해소주의 곡물향은 일품입니다.
삼해소주, 음식과의 궁합은?
편육
조개탕
갈비탕
삼해소주는 다소 강한 양념의 음식보다는 편육, 조개탕, 갈비탕과 같이 향미가 강하지 않고 담백한 음식에 곁들이는 것이 좋아요.
강한 음식에 곁들인다면, 자칫 삼해소주의 향과 맛을 잃기 마련이거든요.
고도수임에도 거칠지 않고 목넘김이 부드러운 편인데요.
깔끔하게 마무리하면서 즐기고 싶은 분이라면 따끈한 국물요리에 곁들여 먹는 것을 추천드려요.
 "
41,감자술,맑고 깔끔한 서주,"찐 감자의 향과 부드럽고 고소하면서 산뜻한 쌀 향, 고소하면서도 새콤달콤한 맛이 조화를 이뤄 음식과 함께 드시기 좋아요.고소한 찐감자 같은 냄새가 은은하게 나고 살짝 풀내음도 있어요. 약간의 단맛과 산미도 있고 여운이 길진 않지만 재미있는 향을 가졌어요.촉촉하게 수분을 머금은 감자의 질감이 느껴지는 듯한 제품입니다. 신맛이 적은 편이어서, 자극적인 음식보다 간이 슴슴한 음식에 곁들이기 좋습니다.","감자술, 어떤 술인가요?
맑고 깔끔한 서주, 감자술
감자술은 국내 유일, 감자를 주 원료로 사용해 만든 약주입니다.
과거 화전민이 감자밥을 지어 먹고 남은 것에 곡자를 섞어 술을 빚던 역사에 착안해 만들었다고 하지요.
화전민이 즐겼던 술은 수분이 적고 걸쭉한 질감을 가진 모양이었다고 합니다.
지금의 서주(薯酒), 즉 감자술은 이를 개량해 맑고 깔끔하면서 은은한 감자 향을 내도록 만들었습니다.
뛰어난 맛과 품질로 2018년에는 청와대 설 명절 선물세트로 활용되는 등 감자술은 꾸준히 그 가치를 인정받고 있습니다.
감자술, 어떻게 만드나요?
첨가물 제로, 철저한 생산공정
감자술은 강원도 평창에서 난 최상급 고랭지 감자와 맑은 오대산 암반수를 사용해 빚어내는데요.
술 빚는 순서는 다음과 같습니다. 우선 감자를 쪄서 누룩을 넣고 발효합니다.
발효는 25도에서 27도를 유지하는 저온장기발효 방식으로 이루어집니다.
다음으로 멥쌀 고두밥으로 만든 밑술을 넣고 20일에서 23일 가량 숙성한 뒤 걸러내면 맑은 감자술이 완성됩니다.
감자술에는 첨가물이나 색소, 합성향료 등이 일체 들어가지 않아 재료 본연의 맛을 즐기기 더욱 좋습니다.
감자술, 음식과의 궁합은?
감자전
활어회
감자술은 향이 은은하면서 가볍고 깔끔한 풍미를 가진 술입니다.
지나치게 간이 세거나 양념이 강한 음식에 곁들여 마시면 술이 가진 본연의 맛이 묻혀버릴 가능성이 있지요.
감자전이나 활어회 등 적당히 담백하고 향미가 강하지 않은 안주와 더 잘 맞습니다.
감자술의 은은한 감자 향이 감자전에서 느껴지는 감자의 맛을 한층 돋우고, 특유의 깔끔한 풍미가 회 맛을 잘 살릴 수 있습니다.
 "
42,안동 진맥소주 22,100% 유기농 통밀로 만든 소주,"은은한 곡물향과 볏짚향이 느껴지면서 후미에 새콤달콤한 과일향이 있습니다. 목넘김이 부드럽습니다.보리향을 필두로 고소한 곡물향과 보리음료 같은 맛이 특징이고, 피니시에서는 건빵같은 과자 느낌의 여운을 주네요.","안동 진맥소주, 어떤 술인가요?
100% 유기농 통밀로 만든 국내 유일 밀 소주, 안동 진맥소주
안동 진맥소주는 100% 유기농 통밀로 빚은 국내 유일의 밀 소주인데요.
알코올 도수는 22도로, ‘진맥(眞麥)’이라는 단어는 밀의 옛말입니다.
조선시대, 안동의 선비 김유가 쓴 요리서인 ‘수운잡방’에 진맥소주에 대한 기록이 남아있듯이 선조들이 드셨던 전통 소주입니다.
마을에서 직접 재배한 유기농 통밀만을 사용해 만드는 안동 진맥소주는 씨앗 파종부터 술을 빚고 병에 담기까지 피 땀 어린 정성으로 완성된 우리술이랍니다.
맛은 순하며 목넘김이 부드럽고 통밀 특유의 밀꽃 향을 풍겨 누구나 즐기기 좋습니다.
안동 진맥소주, 어떻게 만드나요?
기다림의 미학. 2년 여의 시간 끝에 비로소 완성되다.
안동 진맥소주는 ‘해가 잘 뜨는 외딴 강마을’이라는 뜻을 가진 안동 맹개마을에서 친환경 농법으로 직접 유기농통밀을 재배하여 빚고 있습니다.
먼저, 껍질만 벗긴 통밀로 밑술을 담그고, 여기에 덧술을 더한 뒤, 발효과정을 거쳐 발효술을 만듭니다.
이후, 상압증류방식을 통해 증류한 뒤, 옹기숙성을 6개월에서 2년 동안 진행하면 안동 진맥소주가 비로소 완성됩니다.
씨앗 재배부터 증류, 제품 완성까지, 약 2년이라는 시간이 걸리는, 피 땀 어린 정성과 노력이 들어간 우리술이랍니다.
안동 진맥소주, 음식과의 궁합은?
피자
파스타
밀로 만든 소주와 밀로 만든 음식의 만남은 어떨까요? 소주와 서양음식은 다소 어울리지 않는 음식이라고 생각하기 쉬운데요.
독특하게도 안동 진맥소주는 피자나 파스타 등 밀가루 음식들로 구성된 이탈리아 음식과의 조합이 상당히 좋습니다.
통밀 특유의 고소함이 배가 되어 안동 진맥소주를 더 깊이 있게 즐기실 수 있을 거예요.
 "
